user_id,recommended_items
285,19749 47102 10559 24313 22447
902,215 23158 1928 3653 501
948,215 1928 3653 501 5985
1183,11658 1000 5786 7027 19857
1286,156048 52012 52019 52018 52017
1509,2805 24060 4502 5707 4700
1776,133732 133734 80008 133736 133735
1982,156048 52012 52019 52018 52017
2742,156048 52012 52019 52018 52017
3161,2122 45088 111959 146665 104411
3256,697 375 485 382 5601
3375,3338 65 5601 215 26989
3547,156048 52012 52019 52018 52017
3630,4560 2109 26471 34003 7310
3806,136723 77625 10365 102508 22640
4607,156048 52012 52019 52018 52017
5112,156048 52012 52019 52018 52017
5627,156048 52012 52019 52018 52017
5686,92139 497 88738 32044 500
5738,65 847 5601 514 215
5839,350 382 650 1098 8166
6442,9094 19980 28191 4442 25440
7182,37985 25640 79804 58647 34166
7693,156048 52012 52019 52018 52017
8316,16723 20350 25039 97015 76029
9660,10233 10541 26005 25354 83190
9680,3774 108121 108118 134644 108116
10044,15321 15324 23019 23052 23025
10316,1573 650 19397 355 65
10469,60401 101464 11303 32582 5589
10470,14426 14425 14420 14418 14424
10870,156048 52012 52019 52018 52017
10956,12975 71963 49714 1813 134040
11027,6641 52014 52020 52019 52018
11380,2612 2805 1790 25195 39511
11423,156048 52012 52019 52018 52017
11805,666 11221 8048 60994 51609
12046,97725 30762 62302 23505 147946
12097,2154 19397 357 347 5983
12233,156048 52012 52019 52018 52017
12593,16315 22433 22503 16479 12757
12626,45057 45039 24553 29387 27578
12630,87940 1083 52548 51695 53067
12671,3572 8985 54482 67701 90851
12689,105480 107916 107917 18933 100812
12750,1573 357 639 2856 3681
12852,37583 37584 37582 37606 37587
13715,156048 52012 52019 52018 52017
14269,1094 3819 2924 271 499
14624,350 382 1098 5563 650
14792,357 52 5790 236 3338
14966,91288 156048 52013 52017 52016
15006,4773 7206 16567 3908 62180
15100,100152 130848 151957 151956 108908
15549,1094 2924 5258 3819 271
15611,243 250 5755 7228 43343
16228,156048 52012 52019 52018 52017
16874,2979 491 514 13856 7491
16971,24397 3394 38536 1474 25634
18097,9610 20394 86562 86561 34916
18564,1916 7902 12527 59904 67077
18796,6614 11395 42402 5580 82661
18994,16112 11962 55599 48045 3447
19544,99888 99054 115782 7022 22277
19679,32421 6321 50903 16923 132317
19704,31911 13401 5296 31908 48402
20101,5841 4783 11723 14040 61048
20679,1426 17976 21257 25834 27503
20815,82964 11070 6612 11067 3777
20979,652 22199 22195 23755 37178
21195,2174 13049 668 113100 64725
21324,37151 43593 10242 48928 74984
21578,156048 52012 52019 52018 52017
21627,1760 16112 16126 70840 8784
21663,21193 16245 15462 52015 52021
21813,21149 17972 13856 514 14363
21835,5563 1098 350 382 3077
22107,6253 37434 5707 3353 1188
22206,154676 154678 154677 71225 78940
22591,48045 3447 15046 4044 7508
22728,156048 52012 52019 52018 52017
23229,156048 52012 52019 52018 52017
23361,4375 25251 71630 10818 6272
23459,2686 17786 29000 28993 97465
23667,10803 49031 4980 26861 29957
23718,32087 81645 120439 120440 120441
24419,156048 52012 52019 52018 52017
24465,271 639 1533 5983 5601
25906,10085 10083 3433 93956 88654
26038,5935 12605 6253 5939 25625
26658,491 52 17974 22212 7502
27187,18172 3777 15121 40523 5750
27501,66970 53070 97686 95543 29060
27638,39259 54271 46570 20103 8847
27707,7321 93438 25224 92229 108458
27727,24702 237 1005 6508 8733
27845,1094 650 2924 5258 3819
27931,17832 58179 32828 17798 99780
28232,31276 6253 3128 21316 21337
28739,140572 105007 140577 1921 26449
28801,1584 100172 45714 79716 63438
28972,52496 40406 69339 52011 52017
29072,9781 26250 39674 32463 1184
29146,51929 36744 51925 51932 51935
29212,8788 25745 25753 51309 325
29340,11443 36729 4600 26960 136785
29449,1573 650 15121 18172 15102
29519,355 1546 636 9616 5601
30094,20270 15512 102435 93037 85873
30368,156048 52012 52019 52018 52017
30774,156048 52012 52019 52018 52017
30910,6914 374 42948 2915 3253
31318,1201 17091 13221 10464 242
32111,156048 52012 52019 52018 52017
32371,43213 43179 11855 11844 43227
32434,35032 15130 31521 258 53783
